Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-02,2009,Waterbury,111440.0,185000.0,Single Family,Detached House,3,3,996.0,1.025953,South
2009-01-02,2009,,73080.0,152000.0,Single Family,Detached House,3,1,935.0,1.025953,North
2009-01-02,2009,Waterbury,50540.0,105000.0,Single Family,Detached House,3,1,951.0,1.025953,East
2009-01-02,2009,Norwalk,571060.0,1000000.0,Single Family,Detached House,3,2,,1.025953,South
2009-01-02,2009,Bridgeport,4775276.0,272900.0,Single Family,Detached House,3,1,971.0,1.025953,East
2009-01-02,2009,Greenwich,,5187000.0,?,Detached House,3,2,1026.0,1.025953,South
2009-01-03,2009,Norwalk,,1340000.0,Single Family,Detached House,3,1,936.0,1.025953,North
2009-01-03,2009,Norwalk,172620.0,409000.0,?,Detached House,3,3,1004.0,1.025953,South
2009-01-04,2009,Bridgeport,,410000.0,Two Family,Duplex,4,3,1498.0,1.025953,West
2009-01-04,2009,Waterbury,,176000.0,?,Detached House,3,1,1008.0,1.025953,North
2009-01-04,2009,Norwalk,208880.0,370000.0,Single Family,Detached House,3,2,1063.0,1.025953,South
2009-01-04,2009,Waterbury,83300.0,220000.0,Two Family,Duplex,4,4,1471.0,1.025953,South
2009-01-05,2009,Bridgeport,,284280.0,?,Detached House,3,3,1015.0,1.025953,South
2009-01-05,2009,,73990.0,195000.0,Single Family,Detached House,3,1,960.0,1.025953,North
2009-01-05,2009,Greenwich,2095100.0,2860000.0,Single Family,Detached House,3,1,963.0,1.025953,East
2009-01-05,2009,Norwalk,186410.0,340000.0,Single Family,Detached House,3,2,933.0,1.025953,East
2009-01-05,2009,Greenwich,1162140.0,1990000.0,Single Family,Detached House,3,1,,1.025953,North
2009-01-05,2009,,71960.0,219000.0,?,Triplex,6,4,,1.025953,South
2009-01-08,2009,Greenwich,,3235000.0,?,Detached House,3,1,1026.0,1.025953,West
2009-01-08,2009,Waterbury,56070.0,75000.0,Two Family,Duplex,4,2,1373.0,1.025953,West
2009-01-08,2009,Bridgeport,160904.0,399900.0,Two Family,Duplex,4,2,1284.0,1.025953,East
2009-01-08,2009,Norwalk,342090.0,850000.0,Single Family,Detached House,3,1,914.0,1.025953,East
2009-01-08,2009,Bridgeport,71050.0,280000.0,Two Family,Duplex,4,3,1295.0,1.025953,East
2009-01-08,2009,Bridgeport,60483.0,144500.0,?,Detached House,3,1,1095.0,1.025953,East
2009-01-08,2009,,75250.0,205000.0,Single Family,Detached House,3,2,1043.0,1.025953,East
2009-01-09,2009,Bridgeport,135870.0,362560.0,Two Family,Duplex,4,2,1338.0,1.025953,West
2009-01-09,2009,Norwalk,154210.0,412000.0,Single Family,Detached House,3,1,955.0,1.025953,South
2009-01-10,2009,Bridgeport,,269900.0,Single Family,Detached House,3,1,1008.0,1.025953,West
2009-01-10,2009,Greenwich,2498720.0,4000000.0,Single Family,Detached House,3,2,,1.025953,North
2009-01-10,2009,Bridgeport,121870.0,305000.0,Three Family,Triplex,6,6,1817.0,1.025953,South
2009-01-11,2009,Greenwich,693280.0,1820000.0,?,Detached House,3,3,,1.025953,East
2009-01-12,2009,Greenwich,2215010.0,2925000.0,Single Family,Detached House,3,2,1065.0,1.025953,West
2009-01-12,2009,Greenwich,1017400.0,1052000.0,Single Family,Detached House,3,2,984.0,1.025953,East
2009-01-12,2009,Bridgeport,,133000.0,Single Family,Detached House,3,3,1039.0,1.025953,South
2009-01-12,2009,Bridgeport,68838.0,145000.0,Single Family,Detached House,3,2,,1.025953,East
2009-01-16,2009,Bridgeport,159460.0,384000.0,Three Family,Triplex,6,4,2131.0,1.025953,West
2009-01-16,2009,Bridgeport,93521.0,202500.0,Single Family,Detached House,3,2,952.0,1.025953,East
2009-01-16,2009,,186970.0,500000.0,Two Family,Duplex,4,2,1389.0,1.025953,West
2009-01-16,2009,Norwalk,212240.0,437000.0,Single Family,Detached House,3,3,967.0,1.025953,West
2009-01-17,2009,Waterbury,,265000.0,Three Family,Triplex,6,5,1892.0,1.025953,South
2009-01-17,2009,Bridgeport,115290.0,289900.0,Single Family,Detached House,3,1,963.0,1.025953,South
2009-01-17,2009,Bridgeport,,75000.0,Single Family,Detached House,3,3,977.0,1.025953,West
2009-01-17,2009,Greenwich,,2695000.0,?,Detached House,3,1,983.0,1.025953,South
2009-01-18,2009,Bridgeport,128381.0,330000.0,Single Family,Detached House,3,3,959.0,1.025953,North
2009-01-18,2009,Greenwich,875700.0,1372500.0,Single Family,Detached House,3,1,1079.0,1.025953,East
2009-01-18,2009,Greenwich,1452500.0,2000000.0,?,Detached House,3,2,973.0,1.025953,North
2009-01-19,2009,Bridgeport,,137000.0,Single Family,Detached House,3,1,1079.0,1.025953,North
2009-01-19,2009,,257600.0,450000.0,Single Family,Detached House,3,1,,1.025953,East
2009-01-22,2009,Waterbury,53200.0,289000.0,Single Family,Detached House,3,3,999.0,1.025953,North
2009-01-22,2009,Bridgeport,417904.0,232677.0,Three Family,Triplex,6,5,1819.0,1.025953,West
2009-01-23,2009,Bridgeport,105560.0,224500.0,Single Family,Detached House,3,1,1062.0,1.025953,East
2009-01-23,2009,Fairfield,545860.0,720000.0,Single Family,Detached House,3,2,1056.0,1.025953,East
2009-01-23,2009,Norwalk,198310.0,422000.0,Single Family,Detached House,3,1,954.0,1.025953,East
2009-01-24,2009,Norwalk,423850.0,740000.0,?,Detached House,3,2,1080.0,1.025953,West
2009-01-24,2009,Greenwich,1152270.0,1750000.0,Single Family,Detached House,3,3,1040.0,1.025953,South
2009-01-24,2009,Waterbury,60270.0,154000.0,Single Family,Detached House,3,2,1030.0,1.025953,East
2009-01-26,2009,Fairfield,451500.0,1000000.0,Single Family,Detached House,3,1,1064.0,1.025953,South
2009-01-26,2009,,7167580.0,105000.0,Single Family,Detached House,3,3,919.0,1.025953,East
2009-01-26,2009,,17500.0,29000.0,Single Family,Detached House,3,2,960.0,1.025953,South
2009-01-26,2009,Bridgeport,117670.0,249900.0,Single Family,Detached House,3,3,931.0,1.025953,North
2009-01-26,2009,,735350.0,1300000.0,Single Family,Detached House,3,3,1097.0,1.025953,West
2009-01-27,2009,,78050.0,82500.0,Single Family,Detached House,3,2,934.0,1.025953,North
2009-01-29,2009,,2501660.0,4475000.0,Single Family,Detached House,3,1,,1.025953,West
2009-01-29,2009,Norwalk,350000.0,1600000.0,Single Family,Detached House,3,2,904.0,1.025953,East
